life_insurer,year,claims_pending_start_no,claims_pending_start_amt,claims_intimated_no,claims_intimated_amt,total_claims_no,total_claims_amt,claims_paid_no,claims_paid_amt,claims_repudiated_no,claims_repudiated_amt,claims_rejected_no,claims_rejected_amt,claims_unclaimed_no,claims_unclaimed_amt,claims_pending_end_no,claims_pending_end_amt,claims_paid_ratio_no,claims_paid_ratio_amt,claims_repudiated_rejected_ratio_no,claims_repudiated_rejected_ratio_amt,claims_pending_ratio_no,claims_pending_ratio_amt,category,efficiency_score,claims_intimated_no_log
India First,2020-21,9.0,2.531358599,2972.0,117.736802332,2981.0,120.268160931,2886.0,109.64075612399998,80.0,6.674796483000001,0.0,0.0,0.0,0.0,15.0,3.9486069197,0.9681314994968132,0.9116357585853736,0.0268366320026836,0.0554992812006949,0.0050318685005031,0.0328316895272505,Individual Death Claims,0.9362629989936265,7.997326822998097
Indiafirst,2020-21,9.0,2.531358599,2972.0,117.736802332,2981.0,120.268160931,2886.0,109.64075612399998,80.0,6.674796483000001,0.0,0.0,0.0,0.0,15.0,3.9486069197,0.9681314994968132,0.9116357585853736,0.0268366320026836,0.0554992812006949,0.0050318685005031,0.0328316895272505,Individual Death Claims,0.9362629989936265,7.997326822998097
Industry,2020-21,6194.0,454.6481497708569,1095113.0,27772.64045445566,1101307.0,28227.28860422652,1083623.0,26421.499441746964,9527.0,864.6223682039999,3032.0,60.07405739400001,2070.0,257.8252835671694,3055.0,623.2674533143836,0.983942715337322,0.936026828938534,0.0114037230309078,0.0327589531734034,0.0027739767385479,0.0220803160393188,Individual Death Claims,0.9697650155678664,13.906369025402752
Industry Total,2020-21,6194.0,454.6481497708569,1095113.0,27772.64045445566,1101307.0,28227.28860422652,1083623.0,26421.499441746964,9527.0,864.6223682039999,3032.0,60.07405739400001,2070.0,257.8252835671694,3055.0,623.2674533143836,0.983942715337322,0.936026828938534,0.0114037230309078,0.0327589531734034,0.0027739767385479,0.0220803160393188,Individual Death Claims,0.9697650155678664,13.906369025402752
Kotak,2020-21,9.0,12.142200569,4393.0,301.99957921299983,4402.0,314.14177978199984,4336.0,299.91504010799883,50.0,6.949741988000001,0.0,0.0,0.0,0.0,16.0,7.2769976863,0.9850068150840527,0.9547123605020836,0.0113584734211721,0.0221229471381451,0.0036347114947751,0.0231646923607229,Individual Death Claims,0.9700136301681055,8.387995252944556
Kotak Mahindra,2020-21,9.0,12.142200569,4393.0,301.99957921299983,4402.0,314.14177978199984,4336.0,299.91504010799883,50.0,6.949741988000001,0.0,0.0,0.0,0.0,16.0,7.2769976863,0.9850068150840527,0.9547123605020836,0.0113584734211721,0.0221229471381451,0.0036347114947751,0.0231646923607229,Individual Death Claims,0.9700136301681055,8.387995252944556
LIC,2020-21,5875.0,349.68999999999977,941101.0,18755.65,946976.0,19105.34,933889.0,18295.58,6531.0,276.93,2934.0,3.92,1897.0,236.49,1725.0,292.4199999999984,0.9861802199844558,0.957616038238524,0.0099949734734565,0.0147000786167636,0.0018215878755111,0.0153056684675592,Individual Death Claims,0.9743636586354882,13.75480680801729
Max,2020-21,1.0,0.01500105,20051.0,928.0720800700008,20052.0,928.0870811200008,19922.0,885.5722737720009,129.0,42.014807348,0.0,0.0,0.0,0.0,1.0,0.499999999999865,0.9935168561739476,0.954190928617718,0.0064332734889287,0.0452703288330413,4.987033712347896e-05,0.0005387425492406,Individual Death Claims,0.9870337123478954,9.906084178383393
Max Life,2020-21,1.0,0.01500105,20051.0,928.0720800700008,20052.0,928.0870811200008,19922.0,885.5722737720009,129.0,42.014807348,0.0,0.0,0.0,0.0,1.0,0.499999999999865,0.9935168561739476,0.954190928617718,0.0064332734889287,0.0452703288330413,4.987033712347896e-05,0.0005387425492406,Individual Death Claims,0.9870337123478954,9.906084178383393
PNB Met Life,2020-21,0.0,0.0,5315.0,353.1580018290001,5315.0,353.1580018290001,5218.0,331.7032233559996,97.0,21.454778473,0.0,0.0,0.0,0.0,0.0,4.902744876744691e-13,0.981749764816557,0.9392487828057512,0.018250235183443,0.0607512171942473,0.0,1.3882581879366877e-15,Individual Death Claims,0.9634995296331139,8.578476419833136
PNB Metlife,2020-21,0.0,0.0,5315.0,353.1580018290001,5315.0,353.1580018290001,5218.0,331.7032233559996,97.0,21.454778473,0.0,0.0,0.0,0.0,0.0,4.902744876744691e-13,0.981749764816557,0.9392487828057512,0.018250235183443,0.0607512171942473,0.0,1.3882581879366877e-15,Individual Death Claims,0.9634995296331139,8.578476419833136
